model,context,batch,path,H,P,G,mean_TTFT,P95_TTFT,max_TTFT,mean_TPOT,P95_TPOT,mean_completion_latency,P95_completion_latency,max_completion_latency
Llama-3.1-8B,LC126K,32,HBM_BEST,126000,128,32,3.2683710111288775,6.908544582808662,6.908544582808662,0.040351402614084916,0.042360191957772686,4.519268852824986,7.723533409116053,7.723533409116053
Llama-3.1-8B,LC126K,32,M3D_GPU,126000,128,32,0.6325535282952197,0.6325535282952197,0.6325535282952197,0.1641021088230739,0.1641021088230739,5.719738451664811,5.719738451664811,5.719738451664811
Llama-3.1-8B,LC126K,32,M3D_NMP_UNIFORM,126000,128,32,0.5149112070370906,0.5149112070370906,0.5149112070370906,0.04644191952935393,0.04644191952935393,1.9546123942657714,1.9546123942657714,1.9546123942657714
Llama-3.1-8B,LC126K,32,M3D_NMP_CPA,126000,128,32,0.5107582093660115,0.5107582093660115,0.5107582093660115,0.04228906729829462,0.04228906729829462,1.8217211228718735,1.8217211228718735,1.8217211228718735
Qwen2.5-32B,LC20K,1,HBM_HOST_OFFLOAD,20000,128,32,0.046005184739005514,0.046005184739005514,0.046005184739005514,0.022435673295557467,0.022435673295557467,0.7415123733267895,0.7415123733267895,0.7415123733267895
Qwen2.5-32B,LC20K,1,HBM_RESIDENT_WAVE,20000,128,32,0.046005184739005514,0.046005184739005514,0.046005184739005514,0.022435673295557467,0.022435673295557467,0.7415123733267895,0.7415123733267895,0.7415123733267895
Qwen2.5-32B,LC20K,1,HBM_BEST,20000,128,32,0.046005184739005514,0.046005184739005514,0.046005184739005514,0.022435673295557467,0.022435673295557467,0.7415123733267895,0.7415123733267895,0.7415123733267895
Qwen2.5-32B,LC20K,1,M3D_GPU,20000,128,32,0.04372298760285638,0.04372298760285638,0.04372298760285638,0.021383387004112596,0.021383387004112596,0.7066087526845413,0.7066087526845413,0.7066087526845413
Qwen2.5-32B,LC20K,1,M3D_NMP_UNIFORM,20000,128,32,0.026409114390054753,0.026409114390054753,0.026409114390054753,0.004984852081826337,0.004984852081826337,0.1809397406165161,0.1809397406165161,0.1809397406165161
Qwen2.5-32B,LC20K,1,M3D_NMP_CPA,20000,128,32,0.025963049444460047,0.025963049444460047,0.025963049444460047,0.0045389463589683415,0.0045389463589683415,0.16667075748506024,0.16667075748506024,0.16667075748506024
Qwen2.5-32B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,0.1641894909021397,0.1641894909021397,0.1641894909021397,0.03441189876055981,0.03441189876055981,1.230968883883514,1.230968883883514,1.230968883883514
Qwen2.5-32B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,0.1641894909021397,0.1641894909021397,0.1641894909021397,0.03441189876055981,0.03441189876055981,1.230968883883514,1.230968883883514,1.230968883883514
Qwen2.5-32B,LC20K,8,HBM_BEST,20000,128,32,0.1641894909021397,0.1641894909021397,0.1641894909021397,0.03441189876055981,0.03441189876055981,1.230968883883514,1.230968883883514,1.230968883883514
Qwen2.5-32B,LC20K,8,M3D_GPU,20000,128,32,0.16237776351640434,0.16237776351640434,0.16237776351640434,0.032599015256473574,0.032599015256473574,1.1729566117527543,1.1729566117527543,1.1729566117527543
Qwen2.5-32B,LC20K,8,M3D_NMP_UNIFORM,20000,128,32,0.15481600989617159,0.15481600989617159,0.15481600989617159,0.025028922823213444,0.025028922823213444,0.9307136538884302,0.9307136538884302,0.9307136538884302
Qwen2.5-32B,LC20K,8,M3D_NMP_CPA,20000,128,32,0.15053910471122822,0.15053910471122822,0.15053910471122822,0.020752942996812046,0.020752942996812046,0.7938822994435855,0.7938822994435855,0.7938822994435855
