model,context,batch,H,P,G,feol_frequency_ghz,t_prefill,t_decode,t_e2e,e_prefill,e_decode,e_e2e,tokens_per_s,tokens_per_j,tmax_c,thermal_feasible,dominant_bottleneck,bottleneck_definition,source,ARRAY_service_s,LOCAL_FABRIC_service_s,MAC_service_s,INTER_REGION_NOC_service_s,EXTERNAL_BOUNDARY_service_s,GPU_COMPUTE_service_s,normalized_throughput,normalized_energy_efficiency,noc_service_s,GPU_power_W,local_array_bytes,boundary_bytes,event_conservation,energy_conservation,elapsed_s,reduction_service_s
Llama-3.1-8B,LC64K,32,64000,128,32,1.0,0.27826527478930285,1.103144073427826,1.3814093482171288,128.87545527841942,445.286207790743,574.1616630691624,741.2719490581068,1.783469823683876,72.61772493729814,True,EXTERNAL_BOUNDARY,LARGEST_SERVICE_SUM; NOMINAL_STAGE_CLASSIFICATION_NOT_STORED,FROZEN_V3_NOMINAL,0.1626762633932036,0.3846786999902696,0.39360684800000045,0.19168351999999986,0.39475569884251194,0.09313113514666695,1.0,1.0,,,,,,,,
Llama-3.1-8B,LC64K,32,64000,128,32,1.25,0.27826527478930285,0.9801722429057756,1.2584375176950786,128.87545527841942,432.2757881215103,561.1512433999297,813.7074631051462,1.8248199786491432,77.38631404531606,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.1626762633932036,0.30776972399026953,0.3148854783999994,0.15337084812605814,0.39475569884251194,0.09313113514666695,1.0977178674291928,1.0231852282646734,0.10310473612605837,201.92926480055942,9089635581952.0,1341959700480.0,PASS,PASS,708.3412375000044,0.050266111999999766
Llama-3.1-8B,LC64K,32,64000,128,32,1.5,0.27826527478930285,0.9038909328580883,1.1821562076473913,128.87545527841942,424.20522551846494,553.0806807968844,866.2137823882532,1.8514477824909923,80.99640781730136,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.1626762633932036,0.2564970733236024,0.2624045653333335,0.12782906687676399,0.39475569884251194,0.09313113514666695,1.168550602095362,1.038115564336661,0.08594064021009727,212.72549204179035,9089635581952.0,1341959700480.0,PASS,PASS,710.6863129999983,0.041888426666666714
Llama-3.1-8B,LC64K,32,64000,128,32,2.0,0.27826527478930285,0.8165638715864203,1.0948291463757232,128.87545527841942,414.96602243592247,543.8414777143419,935.3057537697156,1.882901621082065,85.92207494343825,False,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.1626762633932036,0.19240626409420739,0.19680342400000023,0.09590184031514595,0.39475569884251194,0.09313113514666695,1.2617579215808137,1.0557518810118167,0.06448552031514582,227.561428292484,9089635581952.0,1341959700480.0,PASS,PASS,642.6529617999913,0.031416320000000136
Llama-3.1-8B,LC64K,32,64000,128,32,2.5,0.27826527478930285,0.774395107561459,1.0526603823507619,128.87545527841942,410.5045672020816,539.380022480501,972.7733817750806,1.8984759489067253,88.69809973138968,False,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.1626762633932036,0.1539517841552575,0.1574427391999997,0.07674550437817503,0.39475569884251194,0.09313113514666695,1.3123029719539905,1.0644844805870035,0.05161244837817503,235.92343312667373,9089635581952.0,1341959700480.0,PASS,PASS,633.6088563000085,0.025133055999999994
Llama-3.1-8B,LC64K,32,64000,128,32,3.0,0.27826527478930285,0.7471375481368133,1.0254028229261163,128.87545527841942,407.6207174149541,536.4961726933735,998.6319299159786,1.9086809042070316,90.67199009523404,False,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.1626762633932036,0.12831547092192427,0.13120228266666675,0.06397461375352771,0.39475569884251194,0.09313113514666695,1.3471869955215288,1.0702064474881463,0.04303040042019438,241.83082944439263,9089635581952.0,1341959700480.0,PASS,PASS,608.714372500006,0.02094421333333333
Llama-3.1-8B,LC126K,1,126000,128,32,1.0,0.014639717791451429,0.061471990840679204,0.07611170863213063,6.893623881257072,21.693280501581118,28.58690438283819,420.43465552277945,1.1193936766098684,65.5664569295181,True,ARRAY,LARGEST_SERVICE_SUM; NOMINAL_STAGE_CLASSIFICATION_NOT_STORED,FROZEN_V3_NOMINAL,0.03320843210803812,0.028679601516852164,0.020283392000000035,0.006798815999999994,0.01486082170541569,0.004603361306666685,1.0,1.0,,,,,,,,
Llama-3.1-8B,LC126K,1,126000,128,32,1.25,0.014639717791451429,0.05836567737306995,0.07300539516452137,6.893623881257072,21.364632536708058,28.25825641796513,438.3237694678095,1.1324124010586891,67.21644477632776,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.03320843210803812,0.02296958794112213,0.016226713599999984,0.005463184460746339,0.01486082170541569,0.004603361306666685,1.0425490946334721,1.0116301572189048,0.0033660324607463358,154.14743136897053,1009386782720.0,50062704640.0,PASS,PASS,18.3122555000009,0.002097152000000003
Llama-3.1-8B,LC126K,1,126000,128,32,1.5,0.014639717791451429,0.057183880213227734,0.07182359800467916,6.893623881257072,21.23959839719675,28.13322227845382,445.5360200405898,1.1374452483001778,67.89016389463592,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.03320843210803812,0.019162920474455458,0.013522261333333343,0.004572763434577242,0.01486082170541569,0.004603361306666685,1.059703366951515,1.0161262048084632,0.0028251367679105704,155.80380736876828,1009386782720.0,50062704640.0,PASS,PASS,18.433727499999804,0.0017476266666666715
Llama-3.1-8B,LC126K,1,126000,128,32,2.0,0.014639717791451429,0.056070853930516314,0.07071057172196774,6.893623881257072,21.121840216485886,28.015464097742957,452.54902089921194,1.142226303599877,68.55065005554565,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.03320843210803812,0.014404675766092882,0.010141696000000018,0.0034597371518658563,0.01486082170541569,0.004603361306666685,1.0763837256386504,1.020397316392887,0.0021490171518658502,157.42764187894232,1009386782720.0,50062704640.0,PASS,PASS,18.113703499999247,0.001310720000000006
