model,context,batch,path,Tmax_C,thermal_metric_type,thermal_phase,provenance,thermal_status,GPU_power_W,memory_power_W,package_power_W,energy_denominator,decode_J,decode_s,power_conservation,operator_reused,physical_signature,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K
Llama-3.1-405B,LC20K,1,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,LC20K,1,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,LC20K,1,M3D_NMP_UNIFORM,74.57969203391855,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,126.50628083845977,311.3877796194164,437.8940604578691,DECODE_ONLY,434.75000467332313,0.9928200538247416,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010695348000000004,0.0012500000000000011,0.00037179,,7.0982582999859005,2150,0.0006933395160220765,0.009973149708712305
Llama-3.1-405B,LC20K,1,M3D_NMP_CPA,71.93561484055533,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,134.16771570092283,278.62257893741753,412.7902946383333,DECODE_ONLY,357.64137189962605,0.8663996623587474,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0012500000000000011,0.00037179,,7.19943019998027,2180,0.0005992403685031575,0.009891421038734948
Llama-3.1-405B,LC20K,8,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,LC20K,8,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,LC20K,8,M3D_NMP_UNIFORM,81.03255609287208,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,165.27366740322415,317.91764678549856,483.19131418871416,DECODE_ONLY,2207.7271719304836,4.569053927712362,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011195348,-0.0002500000000000002,0.00037179,,7.3747146999812685,2230,0.000583033722846791,0.007343533456083175
Llama-3.1-405B,LC20K,8,M3D_NMP_CPA,81.40990520825778,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,179.1004194508242,303.42844450730985,482.5288639581246,DECODE_ONLY,1914.6554522376462,3.967960458431288,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011195348,0.0002500000000000002,0.00037179,,7.371859900013078,2230,0.0005953159573082921,0.007483798418073374
Llama-3.1-405B,LC64K,1,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-405B,LC64K,1,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
